,0
0,0.029880900701515032
1,0.03334182530645426
2,0.03329378699028028
3,0.029888737797654868
4,0.035155106816608266
5,0.034396424209035686
6,0.038731942940068716
7,0.03581680005699009
8,0.034506379799180975
9,0.03235629071876259
10,0.04219771694310584
11,0.03383846580900774
12,0.0384229390104262
13,0.03697850263006909
14,0.03648073828192712
15,0.0350885755406048
16,0.04088100433539533
17,0.04274909919364119
18,0.039480745384312836
19,0.04234301292035342
20,0.036289125985900825
21,0.04567048372571946
22,0.03841549400972559
23,0.04220029951038988
24,0.038356515929236716
25,0.037105426354978585
26,0.032536244091079816
27,0.03857784264261679
28,0.03103928939161187
29,0.02695452914798884
30,0.029211366852114038
31,0.03470276481726257
32,0.022772536775877882
33,0.025476299194637283
34,0.016782064467211408
35,0.014081181306845453
36,0.024954745033959662
37,0.014394860861253975
38,0.012232819439514526
39,0.027949077354640632
40,0.01816645360805077
41,0.017141488127648697
42,0.012247491250359076
43,0.016450494565154915
44,0.01707369336997151
45,0.015832924602172668
46,0.016964811706052917
47,0.0240826455876644
48,0.01625555350771883
49,0.017670240989672948
50,0.02424307439005681
51,0.014628910596654282
52,0.017907976987974056
53,0.01658748296722019
54,0.009757635186390452
55,0.018127388045316658
56,0.008646223324728612
57,0.011136183403668044
58,0.015510109141202962
59,0.012081988318194571
60,0.011757028170200972
61,0.018574223981013882
62,0.017981213809272402
63,0.016519099483658633
64,0.014368101842224288
65,0.009996374722320494
66,0.01946235757024186
67,0.019047716504077696
68,0.01404190975790759
69,0.017440929364401715
70,0.020440311860119957
71,0.0260863082564828
72,0.013793378623384858
73,0.02213762247286544
74,0.02261530333392461
75,0.020225539295807504
76,0.02384304854599451
77,0.02368767844088133
78,0.03237659630844578
79,0.026805707731477155
80,0.026508776407250027
81,0.03631453704671265
82,0.02974547419573711
83,0.02741360438783011
84,0.033359487870170165
85,0.03572420554216491
86,0.0259376827472004
87,0.03003130288636045
88,0.03968440403165592
89,0.03915879125170192
90,0.03301454144606037
91,0.03397710243260077
92,0.03817119904502369
93,0.03442281087956126
94,0.032159330140223534
95,0.03074480131633952
96,0.029531907521192214
97,0.03632821148583664
98,0.041759129356689684
99,0.034264974995007164
100,0.03472343415374444
101,0.03177506687098478
102,0.042496603098551536
103,0.03419407838268016
104,0.04447201959051664
105,0.03762286218840693
106,0.02945418095449072
107,0.03332162003361158
108,0.032007063707703044
109,0.024447645481387243
110,0.017113753289508458
111,0.026357867186129254
112,0.0166398281996223
113,0.02064175775573533
114,0.01981164883382532
115,0.02187079737981184
116,0.014122647009525131
117,0.020787620578780138
118,0.009180058772521659
119,0.005310461719392672
