,0,1,2,3,4,5,6,7,8,9,market_index
0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1,100.21264677635536,98.776260925081,99.2661835573834,99.05296658094649,98.78649519804348,98.93666406124868,99.73270231422552,100.36421028174074,98.24635533870793,100.07548802740813,99.77481482607736
2,101.61621931602602,100.07159503639808,100.35707962279709,100.81975303173373,99.64849777440016,98.20963999978186,101.40158286588712,101.59813927955395,100.1660890727663,100.66123980457235,100.40951646911827
3,100.85466520604595,99.24850097617242,99.47623657541172,100.75201498651116,99.22085907451755,98.12309642829054,100.50033118059534,99.62180726595057,98.93322915066014,100.67143685525696,99.785261435788
4,99.70726278242384,98.66713767287979,99.24805820099964,97.88075306336614,98.78850674327404,97.88928542304278,98.2334059075338,99.69624374821537,99.13100026231925,99.77504286180258,99.11926253278763
5,103.64237933566109,104.77934522910564,101.2342811792743,102.78781834878887,100.4968498709606,100.744925474896,101.8526113721763,103.08885552108612,104.564943352605,101.99596191159664,101.60653450691609
6,106.56208572770588,108.64743848937843,103.21447650810214,106.25451939261116,101.70175390584816,101.3088513790628,105.08044405771685,106.56489661608879,107.95700795047384,103.32160264611494,103.42351191000229
7,106.44012441634544,107.83013821096293,103.3792853758816,105.84933443996479,101.58111591357168,100.5858050813253,104.76179042886947,106.36937124027772,108.16041702859829,103.78399843198498,103.57841463745469
8,107.49649506939731,109.17254705002013,105.10563169442892,106.571349847395,102.14324560565687,100.74981476743041,105.36388159149044,107.66020134411957,107.54760291359396,104.81561486221202,103.9799767802974
9,109.48537682917058,111.44669731573867,106.90133636861934,109.24018118803434,102.87593282533213,102.94696904450304,108.26002337848915,109.00956433173292,108.72868252192735,104.74687209167494,105.02143981167349
10,111.83334642992293,115.67823661298763,108.82370811500644,113.02619845147107,104.04083568746357,106.3053693285377,110.68821596454521,111.57534868933485,110.50040659897327,106.00274811989505,106.70502002510986
11,113.85943726471241,120.16968833210224,110.70067839750256,116.7251123310252,105.34410691208113,109.11631154147824,112.33238084308468,113.11226353550755,112.2053235525272,105.70573628513424,108.09395824348137
12,111.1269489751192,115.40493489971905,108.04957331865627,113.45740226013416,102.95709350789824,106.9547168883327,109.28257588912822,110.87423013005969,109.09777949604916,103.29481737730663,106.36406268203704
13,111.45763988771229,116.0320581748188,108.37464400193035,114.5143665482744,103.34265024446478,107.3408030778379,109.41008909379228,111.38071497897431,110.6113808630431,102.67264734753843,106.76737300697135
14,112.15586577826895,116.8731247818552,107.86107502982394,114.96710507505104,103.47167509959206,107.49410961657192,109.3793742051256,113.22514583052536,111.95628868417838,102.23535837882451,107.11023011118724
15,115.27347381329436,120.36163772229608,109.28767173073138,119.17284782755905,105.7065083387764,108.7711647740675,112.35841669123378,115.9394267920588,115.1917467987064,103.58781255874712,108.97098890613852
16,118.5737234491848,122.99620947294956,110.40660991276387,121.87555760726991,105.60382896985679,110.68541387729908,114.09201990259359,117.96068038149012,117.63465083011036,106.23916748703584,110.22363028916357
17,113.35563852996752,117.48386587582155,108.74922968045121,116.10596034026057,103.2379847786393,107.10301227851645,109.66130102252359,113.01201043910194,113.8165346604661,102.6085235236916,107.4800497910035
18,112.00073030335602,116.84003860648188,107.87047910889164,114.69413478407176,102.17872146871888,105.892201047305,107.98567380211162,112.193517946282,112.99281052262343,102.16934826697408,107.0116997484647
